State,State abbreviation,FIPS State code,State nameplate capacity (MW),State annual heat input from combustion (MMBtu),State ozone season heat input from combustion (MMBtu),State total annual heat input (MMBtu),State total ozone season heat input (MMBtu),State annual net generation (MWh),State ozone season net generation (MWh),State annual NOx emissions (tons),State ozone season NOx emissions (tons),State annual SO2 emissions (tons),State annual CO2 emissions (tons),State annual CH4 emissions (lbs),State annual N2O emissions (lbs), State annual CO2 equivalent emissions (tons) ,State annual Hg emissions (lbs),State annual NOx total output emission rate (lb/MWh),State ozone season NOx total output emission rate (lb/MWh),State annual SO2 total output emission rate (lb/MWh),State annual CO2 total output emission rate (lb/MWh),State annual CH4 total output emission rate (lb/MWh),State annual N2O total output emission rate (lb/MWh),State annual CO2 equivalent total output emission rate (lb/MWh),State annual Hg total output emission rate (lb/MWh),State annual NOx input emission rate (lb/MMBtu),State ozone season NOx input emission rate (lb/MMBtu),State annual SO2 input emission rate (lb/MMBtu),State annual CO2 input emission rate (lb/MMBtu),State annual Hg input emission rate (lb/MMBtu),State annual NOx combustion output emission rate (lb/MWh),State ozone season NOx combustion output emission rate (lb/MWh),State annual SO2 combustion output emission rate (lb/MWh),State annual CO2 combustion output emission rate (lb/MWh),State annual CH4 combustion output emission rate (lb/MWh),State annual N2O combustion output emission rate (lb/MWh),State annual Hg combustion output emission rate (lb/MWh),State annual NOx coal output emission rate (lb/MWh),State annual NOx oil output emission rate (lb/MWh),State annual NOx gas output emission rate (lb/MWh),State annual NOx fossil fuel output emission rate (lb/MWh),State ozone season NOx coal output emission rate (lb/MWh),State ozone season NOx oil output emission rate (lb/MWh),State ozone season NOx gas output emission rate (lb/MWh),State ozone season Nox fossil fuel output emission rate (lb/MWh),State annual SO2 coal output emission rate (lb/MWh),State annual SO2 oil output emission rate (lb/MWh),State annual SO2 gas output emission rate (lb/MWh),State annual SO2 fossil fuel output emission rate (lb/MWh),State annual CO2 coal output emission rate (lb/MWh),State annual CO2 oil output emission rate (lb/MWh),State annual CO2 gas output emission rate (lb/MWh),State annual CO2 fossil fuel output emission rate (lb/MWh),State annual Hg coal output emission rate (lb/MWh),State annual Hg fossil fuel output emission rate (lb/MWh),State annual NOx coal input emission rate (lb/MMBtu),State annual NOx oil input emission rate (lb/MMBtu),State annual NOx gas input emission rate (lb/MMBtu),State annual NOx fossil fuel input emission rate (lb/MMBtu),State ozone season NOx coal input emission rate (lb/MMBtu),State ozone season NOx oil input emission rate (lb/MMBtu),State ozone season NOx gas input emission rate (lb/MMBtu),State ozone season NOx fossil fuel input emission rate (lb/MMBtu),State annual SO2 coal input emission rate (lb/MMBtu),State annual SO2 oil input emission rate (lb/MMBtu),State annual SO2 gas input emission rate (lb/MMBtu),State annual SO2 fossil fuel input emission rate (lb/MMBtu),State annual CO2 coal input emission rate (lb/MMBtu),State annual CO2 oil input emission rate (lb/MMBtu),State annual CO2 gas input emission rate (lb/MMBtu),State annual CO2 fossil fuel input emission rate (lb/MMBtu),State annual Hg coal input emission rate (lb/MMBtu),State annual Hg fossil fuel input emission rate (lb/MMBtu),State annual NOx non-baseload output emission rate (lb/MWh),State ozone season NOx non-baseload output emission rate (lb/MWh),State annual SO2 non-baseload output emission rate (lb/MWh) ,State annual CO2 non-baseload  output emission rate (lb/MWh) ,State annual CH4 non-baseload output emission rate (lb/MWh),State annual N2O non-baseload output emission rate (lb/MWh),State annual Hg non-baseload  output emission rate (lb/MWh) ,State annual coal net generation (MWh),State annual oil net generation (MWh),State annual gas net generation (MWh),State annual nuclear net generation (MWh),State annual hydro net generation (MWh),State annual biomass net generation (MWh),State annual wind net generation (MWh),State annual solar net generation (MWh),State annual geothermal net generation (MWh),State annual other fossil net generation (MWh),State annual other unknown/ purchased fuel net generation (MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh),State annual total nonhydro renewables net generation (MWh),State annual total combustion net generation (MWh),State annual total noncombustion net generation (MWh),State coal generation percent (resource mix),State oil generation percent (resource mix),State gas generation percent (resource mix),State nuclear generation percent (resource mix),State hydro generation percent (resource mix),State biomass generation percent (resource mix),State wind generation percent (resource mix),State solar generation percent (resource mix),State geothermal generation percent (resource mix),State other fossil  generation percent (resource mix),State other unknown/ purchased fuel generation percent (resource mix),State total nonrenewables generation percent (resource mix),State total renewables generation percent (resource mix),State total nonhydro renewables generation percent (resource mix),State total combustion generation percent (resource mix),State total noncombustion generation percent (resource mix)
x,PSTATABB,FIPSST,NAMEPCAP,STHTIAN,STHTIOZ,STHTIANT,STHTIOZT,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN, STCO2AN ,STCH4AN,STN2OAN, STCO2EQA ,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STCH4RTA,STN2ORTA,STC2ERTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STHGRA,STNOXCRT,STNOXCRO,STSO2CRT,STCO2CRT,STCH4CRT,STN2OCRT,STHGCRT,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBCH4,STNBN2O,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STGENACY,STGENACN,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,STCYPR,STCNPR
Alaska,AK,2,3439,42553081,16236971,59433354,22529498,6335034,2406057,21008,7817,1748,2932683,398059,57866,2945831,--,7,6,1,926,0,0,930,--,1,1,0,138,--,9,9,1,1302,0,0,--,1,17,9,9,1,16,9,9,2,3,0,1,2074,1542,1097,1311,--,--,0,2,1,1,0,2,1,1,0,0,0,0,212,165,117,139,--,--,9,9,1,1395,0,0,--,594139,831330,3040487,0,1659152,43017,169301,0,0,0,-2392,4463564,1871470,212318,4506581,1828453,9,13,48,0,26,1,3,0,0,0,0,70,30,3,71,29
Alabama,AL,1,38354,824393497,395164798,1310962923,593145427,142863240,64618103,29881,12554,28836,65211148,9884812,1442043,65536194,--,0,0,0,913,0,0,917,--,0,0,0,158,--,1,1,1,1366,0,0,--,1,32,0,1,1,32,0,1,1,3,0,1,2041,1728,850,1405,--,--,0,3,0,0,0,3,0,0,0,0,0,0,195,163,119,161,--,--,1,1,1,1314,0,0,--,34258405,45832,57803618,39901879,7462945,3335246,0,31261,0,24053,0,132033788,10829452,3366507,95467155,47396085,24,0,41,28,5,2,0,0,0,0,0,92,8,2,67,33
Arkansas,AR,5,19536,387648456,187652732,561261411,267815481,60445059,28838751,27940,13666,48694,33717770,6322493,925414,33927596,--,1,1,2,1116,0,0,1123,--,0,0,0,174,--,1,1,2,1554,0,0,--,2,,0,1,2,,0,1,4,,0,2,2175,,863,1612,--,--,0,,0,0,0,,0,0,0,,0,0,209,,119,178,--,--,1,1,2,1456,0,0,--,23800070,42363,18171187,13421022,3608810,1369828,0,26142,0,5637,0,55440280,5004780,1395970,43389085,17055974,39,0,30,22,6,2,0,0,0,0,0,92,8,2,72,28
Arizona,AZ,4,40135,602858094,315929076,1047151854,506075202,108734631,53847909,33982,16241,12955,50682560,7318405,1204365,50946080,--,1,1,0,932,0,0,937,--,0,0,0,168,--,1,1,0,1563,0,0,--,2,48,0,1,2,45,0,1,1,13,0,0,2315,7565,895,1568,--,--,0,1,0,0,0,1,0,0,0,0,0,0,207,163,119,169,--,--,1,1,0,1401,0,0,--,30403392,51595,34182808,32377477,7226393,214378,541582,3737659,0,0,0,97015272,11720012,4493619,64852172,43883111,28,0,31,30,7,0,1,3,0,0,0,89,11,4,60,40
California,CA,6,106793,807555205,372488964,1681193081,796911571,197323837,94547677,46857,21065,3611,44648567,5081974,622374,44798293,--,0,0,0,453,0,0,454,--,0,0,0,111,--,1,1,0,846,0,0,--,1,30,1,1,1,38,1,1,0,2,0,0,1158,1326,868,867,--,--,0,4,0,0,0,5,0,0,0,0,0,0,209,170,118,118,--,--,1,1,0,885,0,0,--,318876,174814,97006836,18907578,28682772,6122047,13442864,19301101,11457299,1426816,482833,118317753,79006083,50323311,105532221,91791615,0,0,49,10,15,3,7,10,6,1,0,60,40,26,54,47
Colorado,CO,8,19873,428759601,193123998,538764471,233434681,54418480,23575729,30471,13287,19170,39953306,7935324,1142854,40213769,--,1,1,1,1468,0,0,1478,--,0,0,0,186,--,1,1,1,1865,0,0,--,2,582,0,1,2,593,0,1,1,119,0,1,2137,70133,987,1874,--,--,0,1,0,0,0,1,0,0,0,0,0,0,203,163,119,187,--,--,1,1,1,1681,0,0,--,29948675,6975,12679439,0,1608385,162305,9421204,538109,0,0,53388,42688477,11730003,10121618,42850782,11567698,55,0,23,0,3,0,17,1,0,0,0,78,22,19,79,21
Connecticut,CT,9,11789,161091277,69309766,336859456,140221698,36496560,15147600,5854,2621,635,9096160,2210701,282659,9163103,--,0,0,0,498,0,0,502,--,0,0,0,113,--,1,1,0,926,0,0,--,2,7,0,0,2,5,0,0,3,3,0,0,2669,2963,854,880,--,--,0,0,0,0,0,0,0,0,0,0,0,0,210,150,117,119,--,--,1,1,0,1040,0,0,--,177370,91735,17951503,16575492,229732,1433468,12742,24518,0,0,0,34796100,1700459,1470728,19654076,16842484,1,0,49,45,1,4,0,0,0,0,0,95,5,4,54,46
District of Columbia,DC,11,25,763191,338294,763191,338294,76474,33336,175,76,4,18422,1796,188,18470,--,5,5,0,482,0,0,483,--,0,0,0,48,--,5,5,0,482,0,0,--,0,0,4,4,0,0,4,4,0,0,0,0,0,0,1555,1555,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,117,--,--,5,4,0,620,0,0,--,0,1001,22702,0,0,52771,0,0,0,0,0,23703,52771,52771,76474,0,0,1,30,0,0,69,0,0,0,0,0,31,69,69,100,0
Delaware,DE,10,4011,63609070,35135093,64129816,35358858,8731261,4614139,1732,907,526,3874126,285365,35433,3882516,--,0,0,0,887,0,0,889,--,0,0,0,122,--,0,0,0,893,0,0,--,1,1,0,0,1,1,0,0,2,0,0,0,2211,1335,904,1040,--,--,0,0,0,0,0,0,0,0,0,0,0,0,205,119,115,123,--,--,0,0,0,995,0,0,--,479350,62571,7787469,0,0,67987,5321,51086,0,277477,0,8606867,124394,124394,8674854,56407,6,1,89,0,0,1,0,1,0,3,0,99,1,1,99,1
Florida,FL,12,100751,1743606598,856885591,2068238494,994497754,238226428,113886541,65083,31909,44555,121996344,18267029,2493685,122563560,--,1,1,0,1024,0,0,1029,--,0,0,0,140,--,1,1,0,1170,0,0,--,1,2,0,1,1,2,0,1,2,0,0,0,2089,1812,894,1193,--,--,0,0,0,0,0,0,0,0,0,0,0,0,196,127,119,144,--,--,1,1,0,1206,0,0,--,39429468,2820303,158459723,29320022,174551,6098942,0,223983,0,23790,1675646,231728952,6497476,6322925,208507872,29718556,17,1,67,12,0,3,0,0,0,0,1,97,3,3,88,13
Georgia,GA,13,51336,843098444,436433403,1238569690,602121669,132902274,63614414,29621,10627,23887,66567671,11421385,1667514,66946060,--,0,0,0,1002,0,0,1007,--,0,0,0,158,--,1,0,1,1392,0,0,--,1,2,0,1,1,2,0,0,1,1,0,0,2268,1301,888,1464,--,--,0,0,0,0,0,0,0,0,0,0,0,0,207,192,119,164,--,--,1,1,1,1585,0,0,--,37890475,211845,52862465,34480662,1901511,4573416,0,880923,0,97549,3429,125546425,7355850,5454339,95639179,37263096,29,0,40,26,1,3,0,1,0,0,0,95,6,4,72,28
Hawaii,HI,15,3502,92598221,39645315,102555757,44198317,9948845,4316642,22345,9128,37332,7571577,1562895,240099,7625203,--,4,4,8,1522,0,0,1533,--,0,0,1,164,--,5,5,8,1707,0,0,--,1,6,0,5,,6,0,5,14,8,0,9,2258,1604,0,1722,--,--,0,1,0,1,,1,0,0,1,1,0,1,208,163,0,172,--,--,6,6,7,1605,0,0,--,1497380,6640316,0,0,90849,556329,639127,88511,260102,63380,112852,8313927,1634918,1544069,8870256,1078589,15,67,0,0,1,6,6,1,3,1,1,84,16,16,89,11
Iowa,IA,19,22304,271381540,135300604,514371421,215490889,54396531,22894511,21001,10333,28502,27140015,2777849,866758,27303530,--,1,1,1,998,0,0,1004,--,0,0,0,200,--,1,2,2,1891,0,0,--,1,1,1,1,1,1,0,1,2,0,0,2,2015,575,1024,1904,--,--,0,0,0,0,0,0,0,0,0,0,0,0,209,172,119,201,--,--,1,1,2,1846,0,0,--,25198347,277773,2960947,4702665,916789,251715,20076023,151,0,12121,0,33151853,21244678,20327889,28700903,25695628,46,1,5,9,2,1,37,0,0,0,0,61,39,37,53,47
Idaho,ID,16,6212,28060258,13908852,136799676,63133182,15660938,7196515,2090,912,521,1477572,127719,20549,1482098,--,0,0,0,189,0,0,189,--,0,0,0,105,--,1,1,0,749,0,0,--,0,40,0,0,0,40,0,0,2,4,0,0,929,2091,885,886,--,--,0,3,0,0,0,3,0,0,0,0,0,0,165,163,119,119,--,--,1,1,0,777,0,0,--,29188,183,3321462,0,9033272,531573,2578415,29801,71995,0,65048,3415882,12245056,3211784,3947455,11713483,0,0,21,0,58,3,17,0,1,0,0,22,78,21,25,75
Illinois,IL,17,62748,797823139,390451281,1929227229,849444839,187437381,81687724,33486,16146,89396,76035677,9067526,2241444,76478310,--,0,0,1,811,0,0,816,--,0,0,0,191,--,1,1,2,1950,0,0,--,1,25,0,1,1,25,0,1,3,5,0,2,2247,2130,1087,1970,--,--,0,2,0,0,0,2,0,0,0,0,0,0,209,163,127,192,--,--,1,1,3,1973,0,0,--,59337802,69503,17480439,98607038,132834,467012,10663434,48810,0,207080,423431,176125292,11312090,11179256,77985266,109452116,32,0,9,53,0,0,6,0,0,0,0,94,6,6,42,58
Indiana,IN,18,40933,955299879,430901101,1009724428,446733087,101397209,43878171,86576,36680,87847,91901515,18786051,2718379,92520117,--,2,2,2,1813,0,0,1825,--,0,0,0,192,--,2,2,2,1910,0,0,--,2,-113,0,2,2,168,0,2,2,-39,0,2,2212,-14657,975,1966,--,--,0,1,0,0,0,1,0,0,0,0,0,0,207,163,121,194,--,--,2,2,2,1986,0,0,--,72533080,610407,19995659,0,426265,452212,4899474,225841,0,2272492,343628,95755267,6003792,5577527,96207479,5551580,71,1,20,0,0,0,5,0,0,2,0,94,6,6,95,6
Kansas,KS,20,19888,281254621,141071396,498126040,226211703,47599990,21467039,18062,9556,7160,28454163,6132900,890047,28656516,--,1,1,0,1196,0,0,1204,--,0,0,0,202,--,1,2,1,2257,0,0,--,1,55,4,1,1,53,4,1,1,2,0,1,2349,3396,1260,2263,--,--,0,3,0,0,0,2,0,0,0,0,0,0,210,155,119,203,--,--,2,2,1,2196,0,0,--,23096064,28324,2027207,8246042,30538,58832,14110881,2102,0,0,1,33397638,14202353,14171815,25210428,22389563,49,0,4,17,0,0,30,0,0,0,0,70,30,30,53,47
Kentucky,KY,21,31179,794709067,358461719,826925632,371886789,80273501,35720919,58526,25750,76475,78439290,15168864,2541423,78992484,--,1,1,2,1954,0,0,1968,--,0,0,0,197,--,2,2,2,2043,0,0,--,2,,0,2,2,,0,1,2,,0,2,2167,,904,2056,--,--,0,,0,0,0,,0,0,0,,0,0,204,,119,198,--,--,2,2,2,2026,0,0,--,66822058,1218414,8228521,0,3477930,464895,0,11732,0,49951,0,76318944,3954557,476627,76783839,3489662,83,2,10,0,4,1,0,0,0,0,0,95,5,1,96,4
